"ID","group"
"GSM920350","Healthy"
"GSM920351","Healthy"
"GSM920352","Healthy"
"GSM920353","Healthy"
"GSM920401","IgAN"
"GSM920402","IgAN"
"GSM920403","IgAN"
"GSM920404","IgAN"
"GSM920405","IgAN"
"GSM920406","IgAN"
"GSM920407","IgAN"
"GSM920408","IgAN"
"GSM920409","IgAN"
"GSM920410","IgAN"
"GSM920411","IgAN"
"GSM920412","IgAN"
"GSM920413","IgAN"
"GSM920414","IgAN"
"GSM920415","IgAN"
"GSM920416","IgAN"
"GSM920417","IgAN"
"GSM920418","IgAN"
"GSM920419","IgAN"
"GSM920420","IgAN"
"GSM920421","IgAN"
"GSM920422","IgAN"
"GSM920423","IgAN"
"GSM920424","IgAN"
"GSM920425","IgAN"
"GSM920426","IgAN"
"GSM920427","IgAN"
"GSM1046922","Healthy"
"GSM1046923","Healthy"
"GSM1046924","Healthy"
"GSM1046925","Healthy"
"GSM1046926","Healthy"
